beta_x1,beta_s_x2,beta_s_pois,sigma_s_x2,sigma_s_pois,lb_awci_sigma_s_x2,ub_awci_sigma_s_x2,lb_awci_sigma_s_pois,ub_awci_sigma_s_pois,lb_rbci_sigma_s_x2,ub_rbci_sigma_s_x2,lb_rbci_sigma_s_pois,ub_rbci_sigma_s_pois
0.9346275126950895,0.9853595558094587,1.0183435449272569,-0.52,-1.48,-0.54,-0.49,-1.53,-1.43,-0.56,-0.49,-1.53,-1.4048
1.0422188245697417,0.9635579032175029,1.0310514267149653,-0.51,-1.46,-0.53,-0.49,-1.5,-1.43,-0.55,-0.4848,-1.5105,-1.39
1.0257967360331746,1.0287334989818384,0.9783241152875143,-0.47,-1.52,-0.5,-0.44,-1.59,-1.46,-0.5052,-0.4248,-1.6152,-1.45
0.9791364621850547,1.0228737683462092,0.9606317819772198,-0.46,-1.58,-0.49,-0.42,-1.7,-1.49,-0.51,-0.4148,-1.6952,-1.4795
0.9599813687182849,1.0440700681685502,0.9313021976456538,-0.47,-1.53,-0.5,-0.45,-1.59,-1.49,-0.51,-0.43,-1.6,-1.48
1.0072021937990538,1.0830238372376282,0.9443668743866528,-0.51,-1.52,-0.53,-0.49,-1.64,-1.43,-0.5452,-0.4848,-1.6352,-1.41
1.0130599378464256,1.0555447629927663,0.9856936906081789,-0.48,-1.56,-0.51,-0.45,-1.65,-1.49,-0.5152,-0.44,-1.67,-1.4795
1.0425320348295735,1.085040420620638,0.9543689390556337,-0.49,-1.53,-0.52,-0.47,-1.59,-1.47,-0.54,-0.46,-1.6,-1.45
1.01380605173642,1.128410288936429,0.9624818703941145,-0.46,-1.59,-0.49,-0.42,-1.67,-1.52,-0.51,-0.4043,-1.7,-1.5248
0.9311919260425271,0.9478898022972757,0.9817076401001479,-0.49,-1.56,-0.52,-0.47,-1.67,-1.49,-0.54,-0.46,-1.69,-1.47
1.0166084373649518,0.9614989988429438,1.0121870106240507,-0.51,-1.5,-0.54,-0.48,-1.56,-1.45,-0.58,-0.4648,-1.6,-1.3948
0.981976531426106,1.038649712505163,0.9966346233053202,-0.5,-1.53,-0.52,-0.47,-1.61,-1.45,-0.54,-0.47,-1.64,-1.4448
1.0674210656609673,1.0486269095096878,1.0093035380910071,-0.5,-1.6,-0.52,-0.47,-1.71,-1.51,-0.54,-0.4748,-1.7405,-1.4595
0.97645268975532,1.044601535963791,0.9932836563648333,-0.48,-1.56,-0.5,-0.46,-1.6,-1.51,-0.51,-0.4548,-1.63,-1.49
1.0164806332765695,0.9546093452480666,1.0633658169438316,-0.54,-1.45,-0.57,-0.5,-1.51,-1.4,-0.5952,-0.4848,-1.54,-1.3748
1.0037818873188746,0.9541741437033052,0.9982880991370665,-0.5,-1.49,-0.52,-0.47,-1.53,-1.46,-0.55,-0.47,-1.53,-1.43
1.0503601309534178,0.9896925815339346,0.9871506311098287,-0.5,-1.49,-0.53,-0.47,-1.56,-1.43,-0.5452,-0.46,-1.58,-1.41
0.9884099251433991,1.0428285023607842,1.0196863117406918,-0.53,-1.53,-0.55,-0.5,-1.59,-1.48,-0.57,-0.49,-1.6105,-1.4548
1.006852273704364,1.0644954089850542,0.9564681220769962,-0.51,-1.49,-0.54,-0.48,-1.6,-1.41,-0.57,-0.47,-1.63,-1.35
0.9951753213264165,1.0361905892982044,0.9570006470919837,-0.49,-1.53,-0.52,-0.47,-1.57,-1.48,-0.54,-0.46,-1.6,-1.4595
1.0521468330237074,1.0047425655497997,0.9532464919385573,-0.5,-1.53,-0.53,-0.46,-1.6,-1.46,-0.57,-0.4648,-1.63,-1.4395
1.0347212705368822,0.9774548179436399,1.0088751159836522,-0.5,-1.46,-0.52,-0.47,-1.54,-1.4,-0.54,-0.47,-1.5552,-1.3743
0.9722813488887276,1.057846020713968,1.001901931265298,-0.5,-1.49,-0.52,-0.47,-1.55,-1.44,-0.5505,-0.47,-1.58,-1.4048
0.997802844312999,1.0363928285014197,1.0230754297194058,-0.49,-1.55,-0.51,-0.47,-1.59,-1.5,-0.54,-0.47,-1.6,-1.4748
0.9974726783151772,0.9715016128619086,1.0311789214296156,-0.49,-1.49,-0.51,-0.46,-1.54,-1.45,-0.54,-0.4648,-1.5352,-1.43
0.9799109903294313,1.0203521583851793,0.9848504237207908,-0.5,-1.52,-0.53,-0.48,-1.57,-1.47,-0.5452,-0.47,-1.6,-1.4348
0.966547050461049,0.948532803116328,1.0871290364766777,-0.51,-1.49,-0.53,-0.48,-1.53,-1.46,-0.56,-0.47,-1.5452,-1.43
1.0164394106600925,0.9805984246253526,0.9947562802646608,-0.52,-1.48,-0.54,-0.5,-1.53,-1.43,-0.56,-0.4948,-1.5452,-1.3948
0.9647757292998,0.9478770659349885,1.0802586017159868,-0.48,-1.49,-0.51,-0.45,-1.53,-1.44,-0.54,-0.45,-1.53,-1.4148
0.9593543521168509,0.9969199039835115,0.9669568354903018,-0.51,-1.49,-0.54,-0.48,-1.55,-1.45,-0.5652,-0.47,-1.5452,-1.43
1.0735066361909535,1.1013298676799674,0.9918737231513685,-0.45,-1.59,-0.48,-0.41,-1.67,-1.52,-0.5052,-0.4048,-1.7,-1.47
0.9333128728610041,1.0803769448278264,1.0043251251523135,-0.48,-1.53,-0.5,-0.45,-1.62,-1.46,-0.51,-0.45,-1.64,-1.4548
0.9520550331806589,0.9565716228503023,1.0525744455233668,-0.53,-1.43,-0.56,-0.5,-1.49,-1.4,-0.6152,-0.48,-1.5152,-1.3348
1.0190366194173788,0.9385359854765644,0.9891194075386074,-0.49,-1.48,-0.52,-0.46,-1.59,-1.4,-0.54,-0.46,-1.6152,-1.37
0.965251498109622,0.8597345615710739,1.0710957358456201,-0.57,-1.42,-0.6,-0.53,-1.46,-1.38,-0.6852,-0.53,-1.4752,-1.34
1.0158684493205976,0.8952780669199546,1.0491630550466666,-0.54,-1.4,-0.57,-0.5,-1.45,-1.35,-0.6252,-0.4948,-1.4752,-1.3295
1.0033431689128856,0.9896680579665827,1.067957474898337,-0.49,-1.47,-0.53,-0.47,-1.54,-1.42,-0.56,-0.4548,-1.5552,-1.3695
0.9531051371746689,1.012962257060731,0.9953831131487682,-0.54,-1.38,-0.56,-0.51,-1.43,-1.34,-0.62,-0.51,-1.47,-1.28
0.9942717013116382,1.0955205448168779,0.9836772775135533,-0.48,-1.49,-0.51,-0.45,-1.55,-1.43,-0.52,-0.4448,-1.56,-1.43
0.971055684951944,1.0531250367087435,0.9320371579530579,-0.49,-1.55,-0.51,-0.46,-1.62,-1.5,-0.5252,-0.46,-1.62,-1.49
0.9597274202922478,1.000002816574339,0.9666122976209528,-0.47,-1.52,-0.49,-0.45,-1.6,-1.46,-0.51,-0.44,-1.6105,-1.45
1.037241565601046,1.024606198377024,0.9625257040374624,-0.49,-1.48,-0.52,-0.45,-1.54,-1.43,-0.56,-0.4548,-1.5752,-1.3948
1.0228861692405253,0.9042448141113694,1.0222645566071313,-0.51,-1.44,-0.54,-0.48,-1.51,-1.39,-0.56,-0.47,-1.53,-1.3548
1.0090826734307097,0.9464267566960238,1.0878950552530315,-0.51,-1.48,-0.54,-0.49,-1.52,-1.44,-0.57,-0.47,-1.5352,-1.39
1.0034132053907896,1.0997432466188417,0.9824975062855978,-0.49,-1.55,-0.52,-0.46,-1.65,-1.47,-0.54,-0.45,-1.6752,-1.4348
1.0149123040776393,1.0299018882807327,0.9833055666308221,-0.5,-1.49,-0.52,-0.47,-1.54,-1.44,-0.56,-0.47,-1.5752,-1.4
1.0315573686764177,0.9942279391816568,0.9894483073901295,-0.51,-1.47,-0.53,-0.48,-1.52,-1.43,-0.56,-0.47,-1.53,-1.41
1.0003278249398442,0.9304166622421877,1.0056411527764189,-0.53,-1.44,-0.56,-0.49,-1.5,-1.39,-0.57,-0.4848,-1.52,-1.3748
1.0060250324519056,1.1034040983380553,0.9675707509272328,-0.48,-1.58,-0.5,-0.45,-1.65,-1.52,-0.51,-0.45,-1.6605,-1.4848
0.9903447194684524,1.1386344984769545,0.9580844861304507,-0.48,-1.63,-0.5,-0.46,-1.73,-1.55,-0.51,-0.45,-1.73,-1.55
1.0404294822227678,1.004079528101901,0.9871204105103739,-0.49,-1.48,-0.52,-0.46,-1.54,-1.43,-0.55,-0.45,-1.5552,-1.3795
0.9835710064622407,1.0027897061328483,0.9502041336490796,-0.49,-1.49,-0.52,-0.46,-1.57,-1.44,-0.54,-0.45,-1.6,-1.41
0.9848856678348772,0.9693266320926743,1.0677293097405605,-0.51,-1.44,-0.54,-0.49,-1.5,-1.4,-0.6,-0.48,-1.5,-1.34
1.0239261555724615,0.9377012321855912,0.9980577371119235,-0.5,-1.52,-0.53,-0.47,-1.59,-1.46,-0.54,-0.4648,-1.6,-1.4448
0.9800317646470521,1.0870247130449526,1.0690832264244512,-0.49,-1.55,-0.52,-0.47,-1.64,-1.49,-0.52,-0.46,-1.64,-1.4748
0.9814085445529447,0.9925441449849791,1.0005148062815539,-0.48,-1.53,-0.51,-0.45,-1.65,-1.44,-0.54,-0.45,-1.6558,-1.4148
1.05918073140812,1.030165032137048,0.9374048944104987,-0.51,-1.52,-0.53,-0.48,-1.58,-1.47,-0.5652,-0.4748,-1.5852,-1.44
1.0485855592323174,0.976691393215204,0.9783976392775475,-0.51,-1.53,-0.54,-0.49,-1.64,-1.44,-0.5652,-0.4748,-1.6558,-1.4048
0.9666916946884176,0.9551991032646406,1.039031816277335,-0.54,-1.46,-0.56,-0.51,-1.5,-1.43,-0.57,-0.51,-1.5252,-1.41
1.000615976508059,0.919110637192319,1.1525176801727777,-0.55,-1.39,-0.57,-0.52,-1.44,-1.36,-0.6,-0.5148,-1.4352,-1.3248
1.0173661267981602,1.0722875491556505,0.966375076893647,-0.52,-1.52,-0.54,-0.49,-1.6,-1.46,-0.56,-0.48,-1.6105,-1.4395
0.9678671192115424,0.9831369948068601,1.0564683550092662,-0.49,-1.48,-0.53,-0.45,-1.55,-1.42,-0.55,-0.4548,-1.56,-1.3995
1.0218177797790968,0.9590887223755842,1.0260945069599656,-0.49,-1.47,-0.51,-0.47,-1.54,-1.43,-0.5552,-0.46,-1.57,-1.3748
0.953346215466902,1.0421123870300362,0.981447374296326,-0.51,-1.54,-0.53,-0.48,-1.61,-1.48,-0.5652,-0.47,-1.6358,-1.42
1.0285011753155382,0.9405451023695396,1.061168800750288,-0.51,-1.44,-0.53,-0.49,-1.49,-1.4,-0.5452,-0.48,-1.5,-1.38
0.9881895147169728,0.9747012550598231,1.0606137093482315,-0.54,-1.47,-0.56,-0.51,-1.51,-1.43,-0.5852,-0.51,-1.52,-1.41
0.9527085533117093,1.0666216538659876,1.0647641813182895,-0.47,-1.56,-0.49,-0.45,-1.62,-1.51,-0.5,-0.45,-1.6252,-1.4848
0.9934292720341565,0.9665213368159828,1.0157050530094514,-0.5,-1.44,-0.53,-0.47,-1.49,-1.41,-0.57,-0.46,-1.5,-1.34
1.0117189157165605,0.9815809533666355,0.9736243005598838,-0.49,-1.5,-0.51,-0.46,-1.58,-1.44,-0.55,-0.45,-1.62,-1.38
0.9976444767985473,0.9823193866733618,1.0529331675736184,-0.51,-1.45,-0.54,-0.48,-1.53,-1.4,-0.57,-0.46,-1.5905,-1.37
0.9962238945347777,1.0146506118959702,0.965843170441399,-0.5,-1.51,-0.53,-0.47,-1.57,-1.45,-0.54,-0.47,-1.58,-1.44
1.0307559015280707,0.9764933311653259,0.9781862936140268,-0.51,-1.45,-0.53,-0.49,-1.5,-1.41,-0.5552,-0.48,-1.53,-1.38
1.0263486227876715,0.9560880475796665,0.9512165638551854,-0.51,-1.47,-0.54,-0.48,-1.54,-1.42,-0.57,-0.4548,-1.5705,-1.3795
1.0347222298058196,1.0317171401782526,0.9878155177773414,-0.53,-1.46,-0.55,-0.5,-1.52,-1.42,-0.5752,-0.48,-1.53,-1.3848
0.9711340545606383,1.0035805549248797,1.0667638623083475,-0.51,-1.48,-0.53,-0.48,-1.53,-1.44,-0.5552,-0.47,-1.54,-1.41
0.9335038170253476,0.9808630473330858,1.0466230244724917,-0.52,-1.49,-0.55,-0.49,-1.57,-1.44,-0.5652,-0.48,-1.6,-1.4148
0.969811359107522,0.9494733691962328,1.0209211527999695,-0.53,-1.45,-0.55,-0.5,-1.51,-1.42,-0.5852,-0.4948,-1.4952,-1.37
0.9830071443336407,0.9782109226734466,0.9517984437235405,-0.49,-1.48,-0.52,-0.46,-1.56,-1.42,-0.54,-0.4548,-1.6,-1.39
1.0446530060110057,1.0115086248968228,1.0489176530336495,-0.49,-1.53,-0.51,-0.46,-1.57,-1.48,-0.56,-0.46,-1.6,-1.45
1.0331545312088255,0.9196877510502027,1.043005257621542,-0.51,-1.46,-0.53,-0.49,-1.5,-1.43,-0.5652,-0.4748,-1.5105,-1.4
0.9818262420594973,0.9227395377260685,1.064203806945992,-0.52,-1.45,-0.54,-0.49,-1.5,-1.41,-0.57,-0.48,-1.53,-1.37
1.0197887712161722,1.0195730707727901,0.9888327294960809,-0.49,-1.5,-0.51,-0.47,-1.55,-1.45,-0.51,-0.46,-1.56,-1.4348
1.0308609172120518,1.0346864492455727,0.9707798084494035,-0.47,-1.56,-0.49,-0.45,-1.61,-1.51,-0.4952,-0.45,-1.62,-1.49
0.9663001204052784,1.0020522521538175,0.9970518599908506,-0.48,-1.54,-0.5,-0.46,-1.6,-1.48,-0.51,-0.46,-1.6105,-1.45
0.9641458313489751,1.0365261776413843,1.0001922855610481,-0.5,-1.54,-0.53,-0.46,-1.64,-1.46,-0.55,-0.46,-1.67,-1.41
0.9794023339982395,1.0017281043595412,1.0955052478840797,-0.5,-1.53,-0.53,-0.47,-1.59,-1.47,-0.55,-0.4648,-1.6,-1.45
1.0603317966800734,0.9839349157945866,1.0198227825555677,-0.54,-1.47,-0.57,-0.5,-1.53,-1.42,-0.6105,-0.48,-1.5705,-1.38
1.033057643138845,1.0323317468446052,0.9205684085616603,-0.48,-1.53,-0.51,-0.46,-1.6,-1.47,-0.5352,-0.45,-1.6105,-1.44
1.0133932171125317,0.9860519966206469,0.9472707533055021,-0.51,-1.51,-0.53,-0.49,-1.56,-1.45,-0.55,-0.48,-1.6105,-1.4148
1.0039169026133163,0.916048487211344,0.9837681562331597,-0.52,-1.44,-0.54,-0.49,-1.49,-1.39,-0.56,-0.49,-1.5,-1.38
0.9907479932616294,1.0165832363390506,0.9484540068608416,-0.54,-1.44,-0.56,-0.51,-1.49,-1.4,-0.58,-0.51,-1.49,-1.3848
0.966220189495035,0.9626869675798961,0.9978520929686644,-0.54,-1.41,-0.55,-0.51,-1.49,-1.36,-0.57,-0.52,-1.47,-1.33
0.9940862068226538,0.9621707142234802,1.0280441979017556,-0.5,-1.47,-0.53,-0.48,-1.52,-1.42,-0.54,-0.47,-1.54,-1.4148
0.9923182052925402,1.0272152629746867,1.0217933399647172,-0.49,-1.5,-0.51,-0.46,-1.55,-1.45,-0.55,-0.45,-1.5705,-1.41
1.0412956875903627,1.0182246713006085,0.9491222095727926,-0.49,-1.5,-0.51,-0.47,-1.55,-1.46,-0.5352,-0.46,-1.5652,-1.44
1.0124729093697318,0.9440916107117857,1.077910510378938,-0.55,-1.45,-0.58,-0.51,-1.5,-1.41,-0.6105,-0.5148,-1.5058,-1.39
1.001937165632729,0.9357791216318666,1.0031961765875146,-0.5,-1.49,-0.52,-0.48,-1.53,-1.44,-0.52,-0.4748,-1.54,-1.44
0.989488930360763,1.0742346205943434,0.9989540299630987,-0.49,-1.53,-0.51,-0.46,-1.58,-1.48,-0.52,-0.47,-1.5852,-1.4548
0.9936124813233843,1.0187974748156474,1.0180853747863776,-0.51,-1.48,-0.54,-0.48,-1.57,-1.42,-0.56,-0.47,-1.5705,-1.39
0.9890461657698096,1.0362894183789797,0.9705207731774919,-0.48,-1.53,-0.51,-0.45,-1.6,-1.47,-0.5352,-0.45,-1.6105,-1.4395
